text,label
Scientists discover a new coral reef species in the Indian Ocean.,REAL
Government launches a nationwide digital literacy campaign.,REAL
Researchers develop a biodegradable food packaging material.,REAL
Local hospital opens a new cardiac care unit.,REAL
Engineers build a low cost water purification device.,REAL
University announces scholarships for rural students.,REAL
Space telescope captures detailed images of a distant galaxy.,REAL
City plants ten thousand trees under a green initiative.,REAL
Electric buses begin service in the capital.,REAL
Farmers adopt drip irrigation to save water.,REAL
New bridge opens ahead of schedule.,REAL
Health officials promote vaccination awareness campaign.,REAL
Technology company unveils an energy efficient processor.,REAL
Meteorological department predicts above average rainfall.,REAL
Wildlife sanctuary reports increase in tiger population.,REAL
Scientists create stronger recyclable construction material.,REAL
Railway introduces faster ticket booking system.,REAL
Students win international robotics competition.,REAL
Bank reduces loan interest rates for small businesses.,REAL
Startup develops AI tool for crop monitoring.,REAL
Airport installs solar panels to reduce emissions.,REAL
Doctors successfully perform rare heart surgery.,REAL
School introduces coding classes for all grades.,REAL
Marine biologists track endangered sea turtles.,REAL
Fire department receives modern rescue equipment.,REAL
Moonlight charging makes smartphones last forever.,FAKE
Scientists confirm dragons are living inside volcanoes.,FAKE
Eating only chocolate guarantees perfect health.,FAKE
Aliens elected as leaders in every country.,FAKE
Invisible dinosaurs spotted in downtown traffic.,FAKE
Government replaces all clouds with artificial ones.,FAKE
Time travelers reveal next week's lottery numbers.,FAKE
Cats officially declared better drivers than humans.,FAKE
Ocean water turns into lemonade every Sunday.,FAKE
Magic beans approved as unlimited energy source.,FAKE
Flying carpets become public transport in Europe.,FAKE
Doctors recommend sleeping one hour per week.,FAKE
Trees begin producing ready made pizzas naturally.,FAKE
Penguins discovered running a secret banking system.,FAKE
Sun rises from the west for five minutes daily.,FAKE
Scientists bottle happiness as a soft drink.,FAKE
Ghosts hired as night security guards.,FAKE
Sharks start attending underwater music concerts.,FAKE
Fish begin speaking fluent English to fishermen.,FAKE
Chocolate rain cures every known disease.,FAKE
People become invisible after eating purple apples.,FAKE
Clouds arrested for blocking satellite signals.,FAKE
Volcano erupts with popcorn instead of lava.,FAKE
Mars declares independence from the solar system.,FAKE
Owls become licensed airline pilots.,FAKE
