question,answer
What are office timings?,Office hours are from 9 AM to 6 PM.
When does office open?,Office opens at 9 AM.
What time does office start?,Office starts at 9 AM.
What are working hours?,Working hours are 9 AM to 6 PM.
How can I apply for leave?,Apply leave through the HR portal.
How do I take leave?,Submit your leave request through HR.
Can I apply leave online?,Yes through the employee portal.
What is the leave process?,Use the HR portal to apply.
How do I reset my password?,Contact IT support for password reset.
Forgot my password,Please contact the IT department.
Password is not working,IT support can help you.
Where is HR department?,HR department is on the second floor.
How can I contact HR?,Contact HR at extension 201.
Who is HR manager?,Please contact the HR department.
Can I work from home?,WFH requires manager approval.
What is WFH policy?,Work from home requires approval.
Who approves WFH?,Your manager approves WFH.
When is salary credited?,Salary is credited on the last working day.
What is payday?,Salary is credited on the last working day.
When do employees get paid?,Employees are paid monthly.
How can I download salary slip?,Salary slips are available on the portal.
What are company holidays?,Holiday details are available on the portal.
When is next holiday?,Please check the holiday calendar.
How do I mark attendance?,Use the attendance system.
Attendance is not updated,Contact HR if attendance is missing.
Where can I check attendance?,Use the employee portal.
Are training programs available?,Training programs are available.
How can I join training?,Register using the training portal.
How can I contact IT support?,IT support extension is 101.
Where is IT department?,IT department is on the first floor.
